,Titre,Company,Location,Salary,Summaries
492,Développeur (F/H) DEV-PRE-PNL80,Euro Information,Mérignac (33),2 000 € - 3 000 € par mois,"Développeurs php symfony backend / fullstack nancy ou similaire: 1 an (Requis).
Gamestream® est le leader mondial des solutions de streaming de jeux vidéo en…"
493,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,HAYS,Bordeaux (33),55 000 € par an,"Expectra, leader en France de l'intérim spécialisé et du recrutement en CDI de cadres et agents de maîtrise.
Nous recherchons pour le compte de notre client un…"
494,Chef de bureau reporting / business intelligence H/F,OpenClassrooms,Bordeaux (33),25 000 € - 35 000 € par an,"Poste ESO Concepteur et manager des Systèmes d'Information*.
_Lorsque vous vous engagez en tant que sous-officier de l'armée de l'air, vous êtes formés."
495,DÉVELOPPEUR INFORMATIQUE (H/F),OpenClassrooms,Bordeaux (33),2 000 € - 2 200 € par mois,Vous coordonnez et managez une équipe d’une dizaine de développeurs en interne et gérez également les ressources externes.
496,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,OpenClassrooms,Bordeaux (33),2 210 € - 2 500 € par mois,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
497,Chef de projet Business Intelligence H/F,Premista,France,72 000 € par an,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
498,Développeur Windev (H/F),Premista,Bordeaux (33),24 000 € - 34 000 € par an,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
499,Développeur C++ (H/F),OpenClassrooms,Mérignac (33),25 000 € - 35 000 € par an,"Un développeur Full stack et Web (F/H).
Développeur full stack et web (f/h) ou similaire: 5 ans (Souhaité).
Capacités à évoluer en mode agile."
500,Analyste Testeur h/f,Marine Nationale,Bordeaux (33),2 000 € - 2 200 € par mois,"Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour…"
501,Développeur Java (F/H),Armée de Terre,Bordeaux (33),55 000 € par an,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
502,Développeur Java h/f,OpenClassrooms,Bordeaux (33),36 000 € - 42 000 € par an,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…
503,Développeur .NET (F/H),T&S,Bordeaux (33),2 210 € - 2 500 € par mois,"En tant que développeur informatique, votre spécialité, vous participez à l'installation, à la mise en oeuvre et à l'exploitation de réseaux informatiques."
504,Développeur Full Stack h/f,Artecal informatique SELESTAT,Bordeaux (33),25 000 € - 35 000 € par an,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
505,Chargé d’Affaires Ingénierie H/F par Humanys,T&S,France,25 000 € - 35 000 € par an,"Une société de conseil Franco-allemande de plus de 1000 collaborateurs présente en France et à l'international, en pleine expansion, spécialisée dans deux…"
506,Développeur Java Angular H/F,T&S,Bordeaux (33),2 210 € - 2 500 € par mois,"Une société de conseil Franco-allemande de plus de 1000 collaborateurs présente en France et à l'international, en pleine expansion, spécialisée dans deux…"
507,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,T&S,Mérignac (33),36 000 € - 42 000 € par an,"3-5 ans d’expérience min.
Domaines d’expertise : Informatique de gestion , WinDev.
Niveau d’études : Bac+2, Bac+4, Maîtrise, MIAGE."
508,Développeur (F/H) DEV-PRE-PNL80,Pharmagest,Bordeaux (33),30 000 € par an,"Une société de conseil Franco-allemande de plus de 1000 collaborateurs présente en France et à l'international, en pleine expansion, spécialisée dans deux…"
509,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,Pharmagest,Bordeaux (33),41 000 € - 47 000 € par an,Vous disposez d’une expérience d’analyste testeur ou de développeur avec une appétence pour les tests (1an minimum) et vous désirez évoluer dans une équipe…
510,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,Humaniak,Bordeaux (33),2 000 € - 2 200 € par mois,"Une société de conseil Franco-allemande de plus de 1000 collaborateurs présente en France et à l'international, en pleine expansion, spécialisée dans deux…"
511,Développeur Full Stack et Web (F/H) DW-PRE-NA158,polymont,Bordeaux (33),25 000 € - 35 000 € par an,"Prendre part à l’aventure Polymont IT Services, c’est se donner la possibilité d’évoluer dans un cadre dynamique où le partage et la bonne humeur rythment notre…"
512,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,Pharmagest,Bordeaux (33),2 210 € - 2 500 € par mois,"Description de l'entreprise : Notre client XS Groupe, est une entreprise franco-allemande d’accompagnement de projets dans l’industrie, familiale et…"
513,Chef de bureau reporting / business intelligence H/F,OpenClassrooms,Bordeaux (33),36 000 € - 42 000 € par an,"Au cœur des mutations du système de santé, toujours plus centré sur le patient, nous sommes à la pointe de tous les défis technologiques allant du logiciel…"
514,DÉVELOPPEUR INFORMATIQUE (H/F),Premista,Bordeaux (33),2 000 € - 2 200 € par mois,Muni d'un véritable tempérament de business développeur vous avez l'habitude de démultiplier les démarches directes et indirectes pour approcher vos cibles.
515,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,OpenClassrooms,Bordeaux (33),2 210 € - 2 500 € par mois,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
516,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,OpenClassrooms,Bordeaux (33),2 000 € - 2 200 € par mois,"Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour…"
517,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,Premista,Bordeaux (33),1 000 € par mois,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
518,Analyste Testeur Agile / Devops h/f,OpenClassrooms,Bordeaux (33),55 000 € par an,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
519,Directeur ingénierie bâtiment H/F,Marine Nationale,Mérignac (33),41 000 € - 47 000 € par an,"Un développeur Full stack et Web (F/H).
Développeur full stack et web (f/h) ou similaire: 5 ans (Souhaité).
Capacités à évoluer en mode agile."
520,Ingénieur études et développement Java F/H,Armée de Terre,Bordeaux (33),25 000 € - 35 000 € par an,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
521,Chargé d’Affaires Ingénierie H/F par Humanys,OpenClassrooms,Bordeaux (33),25 000 € - 35 000 € par an,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…
522,INGENIEUR COMMERCIAL REIMS H/F,OpenClassrooms,Bordeaux (33),2 210 € - 2 500 € par mois,"En tant que développeur informatique, votre spécialité, vous participez à l'installation, à la mise en oeuvre et à l'exploitation de réseaux informatiques."
523,Conseiller clientèle bancaire confirmé H/F,OpenClassrooms,Bordeaux (33),28 € par heure,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
524,"Chef de secteur Nord-Est GSA, GSS H/F",Pharmagest,Bordeaux (33),32 000 € - 38 000 € par an,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
525,COMMERCIAL DISTRIBUTION B to B 67-68 F/H,HAYS,Bordeaux (33),30 000 € par an,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
526,Gestionnaire de clientèle bancaire H/F,Selescope,Bordeaux (33),450 € par jour,"Vous disposez d’une expérience d’analyste testeur, d’analyste fonctionnel ou de développeur avec une appétence pour les tests, et vous désirez évoluer dans une…"
527,Développeur Full Stack et Web (F/H) DW-PRE-NA158,IT link,Bordeaux (33),2 000 € - 2 200 € par mois,"Notre société, acteur reconnu sur son marché intervient dans la vente de solutions pour tous types d’applications hydrauliques."
528,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,Pharmagest,Mérignac (33),2 000 € - 2 200 € par mois,"Vous avez un tempérament de développeur et vous disposez d'un bon relationnel.
Une PME nationale et familiale renforce ses équipes."
529,Développeur (F/H) DEV-PRE-PNL80,HAYS,Bordeaux (33),2 210 € - 2 500 € par mois,Muni d'un véritable tempérament de business développeur vous avez l'habitude de démultiplier les démarches directes et indirectes pour approcher vos cibles.
530,DÉVELOPPEUR MAGENTO 2,JBL CONSEIL,Bordeaux (33),2 000 € - 3 000 € par mois,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.
531,Développeur (F/H) DEV-PRE-PNL80,FORSTAFF,Bordeaux (33),35 000 € par an,L’expertise IT LINK est sollicitée pour accompagner un de ses partenaires dans son projet ambitieux de développement d’applications et d’outils digitaux…
532,Développeur Full Stack et Web (F/H) DW-PRE-NA158,HAYS,Bordeaux (33),25 000 € - 35 000 € par an,"Votre sens de l’engagement, votre réactivité, votre capacité d’adaptation ainsi que votre esprit de développeur seront des atouts pour réussir dans cette…"
533,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,Premista,Bordeaux (33),2 210 € - 2 500 € par mois,"Votre mental de développeur et votre persévérance dans la prospection et dans le suivi d'un portefeuille clients.
En quoi consiste le challenge ?"
534,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,OpenClassrooms,Bordeaux (33),2 000 € - 2 200 € par mois,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.
535,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,Premista,Bordeaux (33),35 000 € - 45 000 € par an,"Un développeur Full stack et Web (F/H).
Développeur full stack et web (f/h) ou similaire: 5 ans (Souhaité).
Capacités à évoluer en mode agile."
536,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,API AND YOU,Bordeaux (33),32 000 € - 38 000 € par an,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
537,Développeur Java Angular H/F,Premista,Mérignac (33),25 000 € - 35 000 € par an,"Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour…"
538,Analyste Testeur Agile / Devops h/f,Premista,Bordeaux (33),2 210 € - 2 500 € par mois,"De formation minimum bac +2 à bac +4, vous justifiez d’expériences réussies en tant que développeur Magento 2.
Connaissance du CMS Magento 2."
539,Directeur ingénierie bâtiment H/F,OpenClassrooms,Bordeaux (33),2 000 € - 2 200 € par mois,"Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour…"
540,INGENIEUR COMMERCIAL REIMS H/F,OpenClassrooms,Bordeaux (33),25 000 € - 35 000 € par an,"Un développeur Full stack et Web (F/H).
Développeur full stack et web (f/h) ou similaire: 5 ans (Souhaité).
Capacités à évoluer en mode agile."
541,Technico-Commercial h/f,OpenClassrooms,Bordeaux (33),2 210 € - 2 500 € par mois,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
542,Conseiller clientèle bancaire confirmé H/F,OpenClassrooms,Bordeaux (33),2 000 € - 2 200 € par mois,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
543,Ingénieur études et développement Java F/H,Pharmagest,Bordeaux (33),25 000 € - 35 000 € par an,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
